ChEMBL_ID,SMILES
CHEMBL111,Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4
CHEMBL273575,CN1CC(c2ccccc2)c3cccc(N)c3C1
CHEMBL561,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
CHEMBL562,COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O
CHEMBL563,CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2
CHEMBL564,CN(C)CCCN1c2ccccc2Sc3ccccc13
CHEMBL565,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
CHEMBL112,CC(=O)Nc1ccc(O)cc1
CHEMBL277522,OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2
CHEMBL113,CN1C(=O)N(C)c2ncn(C)c2C1=O
CHEMBL16073,CCOc1ccc(NC(=O)C)cc1
CHEMBL567,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1
CHEMBL568,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
CHEMBL15770,C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1
CHEMBL15677,OC(=O)Cc1ccccc1Oc2ccc(Cl)cc2Cl
CHEMBL416898,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
CHEMBL276520,C(Cc1c[nH]c2ccccc12)C3CCNCC3
CHEMBL569,CCN(CC)CCOC(=O)c1ccc(N)cc1
CHEMBL570,CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F
CHEMBL571,CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2
CHEMBL572,[O-][N+](=O)c1oc(\C=N\N2CC(=O)NC2=O)cc1
CHEMBL15870,CC(C(=O)O)c1ccc(cc1)N2Cc3ccccc3C2=O
CHEMBL15891,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl
CHEMBL573,OC(=O)c1cccnc1
CHEMBL575,COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O
CHEMBL16080,CC(Cl)(Cl)Cl
CHEMBL278172,CCOC(=O)c1ccc(N)cc1
CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
CHEMBL578,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
CHEMBL580,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O
CHEMBL277062,Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1
CHEMBL279816,ClC=C(Cl)Cl
CHEMBL277535,c1ccc(cc1)C(c2ccc(cc2)c3ccccc3)n4ccnc4
CHEMBL582,CC(C)O
CHEMBL583,CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4
CHEMBL115,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@@H]4[C@H](O)Cc5ccccc45
CHEMBL584,Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C
CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3
CHEMBL585,Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3
CHEMBL16476,CC(C)NCC(O)c1ccc2ccccc2c1
CHEMBL118,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL588,Oc1ccc(cc1)C2CNCCc3c(Cl)c(O)c(O)cc23
CHEMBL589,CCCN(CCC)CCc1cccc2NC(=O)Cc12
CHEMBL590,CC1=CC(=O)c2ccccc2C1=O
CHEMBL591,CCC(O)(\C=C\Cl)C#C
CHEMBL17157,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
CHEMBL592,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34
